Title
ゴルフ☆パラダイス ＳＥＡＳＯＮ２ ＃２２
New PANTY ＆ STOCKING with GARTERBELT
ダンガンロンパ The Animation
はやく起きた朝は・・・
鬼平犯科帳 本所・桜屋敷
うたごえはミルフィーユ
ばっどがーる
公女殿下の家庭教師
とんでもスキルで異世界放浪メシ2
SANDA
忍者と極道
太陽よりも眩しい星
ワンパンマン（第3期）
永久のユウグレ
渡くんの××が崩壊寸前
藤本タツキ17-26
ダーウィン事変
BEASTARS(第2期)
Anstiftung



